sim_case,time_trend,Model,median_error,iqr_error
6,linear,Data,0.902760485143313,1.338070520295792
6,linear,LPME,0.690042197691297,1.1501511108163538
6,linear,PC,0.8116989299663615,1.2316058329947768
6,linear,PME,0.8920123707431981,1.365066950147397
6,quadratic,Data,0.9260797863076764,1.337633113830528
6,quadratic,LPME,0.8958005566455269,1.4223657638351481
6,quadratic,PC,0.8393963340385078,1.212868146015618
6,quadratic,PME,0.9183653925697155,1.3733031120963384
6,sinusoidal,Data,0.9153349734454258,1.3705160305912287
6,sinusoidal,LPME,0.6626581575109394,1.1183814182195595
6,sinusoidal,PC,0.8308890385488092,1.2532052772949762
6,sinusoidal,PME,0.9000576671454281,1.3912336668966203
7,constant,Data,0.28398276878899004,1.0602048146966556
7,constant,LPME,0.27304273068357554,0.8910149311039612
7,constant,PC,0.5569493371896466,0.38719111504591863
7,constant,PME,0.3161540306402291,1.0418684244803869
7,linear,Data,0.28829977958765374,1.1104629847243843
7,linear,LPME,0.30701695964508124,0.9979946134565736
7,linear,PC,1.2144594233693902,2.2536086117004466
7,linear,PME,0.3234310944169553,1.1096331025985577
7,quadratic,Data,0.2826621042077151,1.060748730888631
7,quadratic,LPME,0.4379312947520807,1.6472641189998014
7,quadratic,PC,1.8602946362963046,5.348508306687409
7,quadratic,PME,0.3217834136913153,1.0392036107327118
7,sinusoidal,Data,0.2708175753157836,1.100257661240736
7,sinusoidal,LPME,0.2934319721468143,0.9342434985707515
7,sinusoidal,PC,0.9396161402861556,1.3346137073029285
7,sinusoidal,PME,0.3039422304030258,1.0976271321600817
8,constant,Data,0.14478664420343385,0.5519597322710385
8,constant,LPME,2.961235232825733,4.653488903205587
8,constant,PC,1.5756293231989003,0.5138093191601298
8,constant,PME,6.9245471062705,1.169528954416382
8,linear,Data,0.1509251179389943,0.5535587591135814
8,linear,LPME,2.625343544963477,4.308351240907187
8,linear,PC,1.7396654144017982,0.5631608418952052
8,linear,PME,6.835787591802504,1.1378489210972855
9,constant,Data,0.10956958721595379,0.32538708612215084
9,constant,LPME,0.07436593918526566,0.20770887853029102
9,constant,PC,0.172234799143763,0.23452380422235242
9,constant,PME,0.11528515695356906,0.33115721676391824
9,linear,Data,0.1070835425846258,0.33199621470926355
9,linear,LPME,0.07252310596894852,0.21453675384935667
9,linear,PC,0.19001632771778124,0.2399258493117845
9,linear,PME,0.10895824833620082,0.33596680967105663
